,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
87,0.023875185,3.9849671112496092,1.0953701510585154,2.5401686311540623,2.5770543348669337,1.2836257813290242,1.9303400580979793
88,0.024479588,3.714055277400911,1.5742099090883392,2.644132613669805,2.5479364276882435,1.4398540122488988,1.9938951995433911
89,0.025415007,4.063046884071289,2.235097987578756,3.1490724358250226,2.6494264982889835,2.2322704062210175,2.4408484719284163
90,0.027054126,3.059493291337521,0.9634789163028219,2.011486085338702,2.1714677088441148,1.4964712591343738,1.8339695024707134
91,0.029899432,2.278267025273256,0.6476950799600474,1.4629810693393774,1.6648698543838558,0.7791349347372217,1.2220024112832644
92,0.033044013,2.04309340393977,0.7074960598762626,1.3752947319080164,1.4259412438797916,0.7354079542336459,1.0806745839253846
93,0.034738235,1.2496595466062108,0.8085142495005863,1.0290868836600362,0.9431224700967105,0.5916629327886117,0.7673927014426611
94,0.035617618,1.839341614590847,0.5092104980181438,1.1742760563044952,0.9384279431600396,0.6123594789522422,0.7753937110561409
95,0.038391642,1.856332505913657,0.6272674140897647,1.241799946978043,1.11436715835181,0.64906728917716,0.8817172237644851
96,0.043503454,1.8225839952846046,0.682124964146525,1.2523544682222245,1.2169375792552013,0.6783900193304192,0.9476637877994699
97,0.049295887,1.8041140227378403,0.6884296452562058,1.246271823854189,1.243357016783165,0.6685540519840936,0.9559555343836292
98,0.054480388,1.3892042949473855,0.45747029187824434,0.923337293412815,0.8184596629524739,0.4536779180060172,0.6360687813016309
99,0.057994075,1.4015104474034632,0.6204839718540214,1.0109972096287423,0.8212245130213733,0.48082322202742267,0.6510238675243979
100,0.060967498,1.4497573772832204,0.5557023022332325,1.0027298479593176,0.9101184536062149,0.4884168774647764,0.6992676655354956
101,0.064899563,1.372708873247729,0.8412828604100154,1.1069958668288722,0.8580186741781297,0.4668651466882759,0.6624419181374149
102,0.07172507,1.3281225657918492,2.286907172066894,1.8075148759004347,0.8121282697946478,0.5209172608684801,0.666522765331564
103,0.081275109,1.1195059486170607,0.40259536286810765,0.7610506557425841,0.6414879861926731,0.37745743287775846,0.5094727095352157
104,0.092096764,0.8696785155230862,0.3094534461601713,0.5895659808416287,0.4347769157231192,0.23854864216510366,0.33666277351503904
105,0.104359354,0.9440639025036509,0.33394170876143986,0.6390028056325454,0.5020934491411282,0.26785531846048033,0.3849743838008043
