energy,xsection,Min_Cross_Section,Max_Cross_Section
900000.0,0.003154993,0.0,0.00950849923076923
1000000.0,0.005490881,0.005491402,0.010565
1200000.0,0.013361,0.012678,0.02625603
1400000.0,0.02626034,0.014791,0.032418978
1600000.0,0.0442967,0.0245285,0.05217696104287868
1800000.0,0.06668551,0.034266,0.07939448180630715
2000000.0,0.09212368,0.055014,0.106612
2215519.0,0.1215633,0.07795980077999999,0.14100236683
2416930.0,0.150302,0.1064836266,0.17399803235
2800000.0,0.2069611,0.151205,0.23223939999999998
3200000.0,0.2340094,0.18588,0.27838179999999996
3400000.0,0.2505795,0.20176,0.2851866
3600000.0,0.2710304,0.215395,0.29029741644867635
3826806.0,0.2892498,0.2303548254547435,0.2985618161644759
4000000.0,0.3044435,0.238915,0.304151
4229627.0,0.3120693,0.24972463864718958,0.3116447853953636
4400000.0,0.3166096,0.25504,0.316077
4600000.0,0.3321728,0.26128,0.331482
4902057.0,0.3437366,0.267864849623521,0.34281314595951434
5200000.0,0.3533986,0.273945,0.352301
5600000.0,0.3618503,0.28143,0.360633
5840914.0,0.3688997,0.28554381885,0.36762575877
6000000.0,0.3721525,0.287775,0.370856
6243735.0,0.3742712,0.29100976926666666,0.37295056125
6490292.0,0.3778308,0.29343257036000003,0.37651654085603115
6693114.0,0.3805904,0.2950895675925926,0.37928220725696593
6800000.0,0.3824312,0.295755,0.381134
7200000.0,0.3808714,0.29771,0.379494
7552200.0,0.3830917,0.2988005,0.3816764103851641
7800000.0,0.384388,0.29942,0.382927
8056433.0,0.3795226,0.300246996425,0.37800100521585533
8500000.0,0.3729473,0.30167,0.371383
9000000.0,0.3577051,0.302,0.363057
9500000.0,0.3319084,0.29889,0.366242
10000000.0,0.2997881,0.29397,0.369427
10141080.0,0.2910604,0.289975673630137,0.37032553852
10284150.0,0.2822096,0.281182013270548,0.37123675135
10429250.0,0.273234,0.2722635809075343,0.37216089325
10500000.0,0.268857,0.267915,0.3726115
10648140.0,0.2589535,0.2580725841848357,0.37355500366
10798360.0,0.2489103,0.24809197325089488,0.37451175484
10950710.0,0.2387254,0.23796985987721692,0.37548207199
11000000.0,0.23543,0.234695,0.375796
11155190.0,0.2259708,0.22529173896007018,0.37629028015000004
11312570.0,0.2163782,0.21575578160157963,0.37679153545
11472170.0,0.2066503,0.2060852965158371,0.37729986145
11500000.0,0.204954,0.204399,0.3773885
11662240.0,0.196234,0.19572665261083744,0.3779052344
11826780.0,0.187391,0.18693132783338515,0.3784292943
11993630.0,0.1784232,0.17801250293441093,0.37896071155
12000000.0,0.178081,0.177672,0.378981
12169300.0,0.1705367,0.17016624735729385,0.3795202205
12340990.0,0.162886,0.16255457526446795,0.38006705315
12500000.0,0.1558,0.155505,0.3805735
12676350.0,0.1485329,0.1482679686698718,0.38113517475
