Incident energy;xsec
1.09856E+03;1.16063E-05
1.09916E+03;1.16126E-05
1.09975E+03;1.16189E-05
1.10035E+03;1.16252E-05
1.10095E+03;1.16316E-05
1.10155E+03;1.16379E-05
1.10215E+03;1.16442E-05
1.10275E+03;1.16505E-05
1.10334E+03;1.16568E-05
1.10364E+03;1.16600E-05
1.10394E+03;1.16632E-05
1.10424E+03;1.16663E-05
1.10454E+03;1.16695E-05
1.10484E+03;1.16726E-05
1.10514E+03;1.16758E-05
1.10544E+03;1.16790E-05
1.10574E+03;1.16821E-05
1.10606E+03;1.16856E-05
1.10623E+03;1.16873E-05
1.10639E+03;1.16890E-05
1.10655E+03;1.16907E-05
1.10672E+03;1.16925E-05
1.10688E+03;1.16942E-05
1.10704E+03;1.16959E-05
1.10721E+03;1.16976E-05
1.10737E+03;1.16994E-05
1.10753E+03;1.17011E-05
1.10769E+03;1.17028E-05
1.10786E+03;1.17045E-05
1.10794E+03;1.17054E-05
1.10802E+03;1.17063E-05
1.10810E+03;1.17071E-05
1.10818E+03;1.17080E-05
1.10827E+03;1.17088E-05
1.10835E+03;1.17097E-05
1.10844E+03;1.17107E-05
1.10854E+03;1.17117E-05
1.10863E+03;1.17127E-05
1.10873E+03;1.17137E-05
1.10882E+03;1.17147E-05
1.10892E+03;1.17157E-05
1.10901E+03;1.17167E-05
1.10911E+03;1.17178E-05
1.10920E+03;1.17188E-05
1.10930E+03;1.17198E-05
1.10949E+03;1.17218E-05
1.10968E+03;1.17238E-05
1.10987E+03;1.17258E-05
1.11009E+03;1.17281E-05
1.11030E+03;1.17304E-05
1.11074E+03;1.17350E-05
1.11100E+03;1.17377E-05
1.11126E+03;1.17404E-05
1.11144E+03;1.17424E-05
1.11162E+03;1.17443E-05
1.11166E+03;1.17447E-05
1.11175E+03;1.17456E-05
1.11184E+03;1.17466E-05
1.11203E+03;1.17486E-05
1.11227E+03;1.17511E-05
1.11251E+03;1.17537E-05
1.11331E+03;1.17622E-05
1.11353E+03;1.17644E-05
1.11374E+03;1.17667E-05
1.11385E+03;1.17678E-05
1.11395E+03;1.17689E-05
1.11406E+03;1.17701E-05
1.11417E+03;1.17712E-05
1.11428E+03;1.17723E-05
1.11444E+03;1.17740E-05
1.11460E+03;1.17757E-05
1.11468E+03;1.17766E-05
1.11476E+03;1.17774E-05
1.11484E+03;1.17783E-05
1.11492E+03;1.17791E-05
1.11500E+03;1.17800E-05
1.11508E+03;1.17808E-05
1.11516E+03;1.17817E-05
1.11524E+03;1.17825E-05
1.11532E+03;1.17834E-05
1.11540E+03;1.17842E-05
1.11556E+03;1.17859E-05
1.11572E+03;1.17876E-05
1.11588E+03;1.17893E-05
1.11604E+03;1.17910E-05
1.11620E+03;1.17927E-05
1.11636E+03;1.17944E-05
1.11652E+03;1.17961E-05
1.11668E+03;1.17978E-05
1.11684E+03;1.17995E-05
1.11701E+03;1.18012E-05
1.11717E+03;1.18029E-05
1.11749E+03;1.18063E-05
1.11778E+03;1.18094E-05
1.11808E+03;1.18125E-05
1.11837E+03;1.18156E-05
1.11866E+03;1.18187E-05
1.11896E+03;1.18218E-05
1.11925E+03;1.18249E-05
1.11955E+03;1.18280E-05
1.11984E+03;1.18311E-05
1.12043E+03;1.18374E-05
1.12102E+03;1.18436E-05
1.12161E+03;1.18498E-05
1.12220E+03;1.18560E-05
1.12278E+03;1.18622E-05
1.12337E+03;1.18685E-05
1.12396E+03;1.18747E-05
1.12455E+03;1.18809E-05
1.12514E+03;1.18871E-05
1.12573E+03;1.18933E-05
1.12691E+03;1.19058E-05
1.12808E+03;1.19182E-05
1.12926E+03;1.19307E-05
1.13044E+03;1.19431E-05
1.13161E+03;1.19555E-05
1.13274E+03;1.19674E-05
1.13386E+03;1.19793E-05
1.13499E+03;1.19912E-05
1.13611E+03;1.20030E-05
1.13723E+03;1.20149E-05
1.13836E+03;1.20268E-05
1.14061E+03;1.20505E-05
1.14285E+03;1.20743E-05
1.14510E+03;1.20980E-05
1.14735E+03;1.21218E-05
1.14960E+03;1.21455E-05
1.15268E+03;1.21781E-05
1.15576E+03;1.22106E-05
1.15884E+03;1.22432E-05
1.16193E+03;1.22758E-05
1.16501E+03;1.23083E-05
1.16809E+03;1.23409E-05
1.17117E+03;1.23735E-05
1.17425E+03;1.24060E-05
1.18042E+03;1.24712E-05
1.18658E+03;1.25363E-05
1.19275E+03;1.26014E-05
1.19891E+03;1.26665E-05
1.20864E+03;1.27693E-05
1.21836E+03;1.28720E-05
1.22809E+03;1.29748E-05
1.23781E+03;1.30775E-05
1.25726E+03;1.32830E-05
1.27671E+03;1.34885E-05
1.29616E+03;1.36940E-05
1.31561E+03;1.38995E-05
1.33506E+03;1.41049E-05
1.35451E+03;1.43104E-05
1.39341E+03;1.47214E-05
1.43231E+03;1.51324E-05
1.51011E+03;1.59543E-05
1.63258E+03;1.72482E-05
1.75505E+03;1.85422E-05
