Incident energy [eV];Computed function [b]
4.000000E+07;1.123840E-02
4.026164E+07;1.107899E-02
4.082966E+07;1.073534E-02
4.140569E+07;1.039025E-02
4.198985E+07;1.004379E-02
4.200000E+07;1.003780E-02
4.258225E+07;9.738497E-03
4.318301E+07;9.432655E-03
4.379224E+07;9.125583E-03
4.400000E+07;9.021578E-03
4.441007E+07;8.805190E-03
4.503662E+07;8.477356E-03
4.567201E+07;8.148333E-03
4.600000E+07;7.979841E-03
4.631636E+07;7.858737E-03
4.696980E+07;7.610422E-03
4.763246E+07;7.361122E-03
4.800000E+07;7.223939E-03
4.830446E+07;7.099370E-03
4.898595E+07;6.822627E-03
4.967706E+07;6.544922E-03
5.000000E+07;6.416170E-03
5.037791E+07;6.294143E-03
5.108865E+07;6.066440E-03
5.180942E+07;5.837920E-03
5.200000E+07;5.777900E-03
5.254036E+07;5.618132E-03
5.328161E+07;5.400935E-03
5.400000E+07;5.192610E-03
5.403332E+07;5.185505E-03
5.479563E+07;5.023782E-03
5.556870E+07;4.861412E-03
5.600000E+07;4.771540E-03
5.635267E+07;4.688303E-03
5.714771E+07;4.502069E-03
5.795396E+07;4.315202E-03
5.800000E+07;4.304591E-03
5.877158E+07;4.139203E-03
5.960074E+07;3.963287E-03
6.000000E+07;3.879250E-03
6.044160E+07;3.813518E-03
6.129433E+07;3.687524E-03
6.215908E+07;3.561011E-03
6.303603E+07;3.434007E-03
6.392536E+07;3.306541E-03
6.482723E+07;3.178644E-03
6.500000E+07;3.154300E-03
6.574182E+07;3.076230E-03
6.666932E+07;2.979459E-03
6.760991E+07;2.882275E-03
6.856376E+07;2.784700E-03
6.953107E+07;2.686756E-03
7.000000E+07;2.639640E-03
7.051203E+07;2.588545E-03
7.150683E+07;2.490011E-03
7.251566E+07;2.391080E-03
7.353873E+07;2.291776E-03
7.457622E+07;2.192120E-03
7.500000E+07;2.151720E-03
7.562836E+07;2.107989E-03
7.669534E+07;2.034295E-03
7.777737E+07;1.960284E-03
7.887467E+07;1.885972E-03
7.998745E+07;1.811377E-03
8.000000E+07;1.810540E-03
8.111593E+07;1.749235E-03
8.226033E+07;1.686930E-03
8.342088E+07;1.624327E-03
8.459779E+07;1.561441E-03
8.579132E+07;1.498283E-03
8.700168E+07;1.434867E-03
8.822912E+07;1.371208E-03
8.947387E+07;1.307321E-03
9.000000E+07;1.280520E-03
9.073618E+07;1.255875E-03
9.201631E+07;1.213313E-03
9.331449E+07;1.170531E-03
9.463099E+07;1.127537E-03
9.596607E+07;1.084338E-03
9.731997E+07;1.040943E-03
9.869298E+07;9.973611E-04
1.000000E+08;9.562721E-04
1.000854E+08;9.543279E-04
1.014974E+08;9.223113E-04
1.029293E+08;8.901174E-04
1.043815E+08;8.577514E-04
1.058541E+08;8.252190E-04
1.073475E+08;7.925260E-04
1.088620E+08;7.596786E-04
1.100000E+08;7.352002E-04
1.103979E+08;7.287285E-04
1.119554E+08;7.035230E-04
1.135349E+08;6.781728E-04
1.151366E+08;6.526819E-04
1.167610E+08;6.270546E-04
1.184083E+08;6.012951E-04
1.200000E+08;5.766242E-04
1.200788E+08;5.757176E-04
1.217729E+08;5.563121E-04
1.234909E+08;5.367892E-04
1.252331E+08;5.171519E-04
1.270000E+08;4.974029E-04
1.287917E+08;4.775455E-04
1.300000E+08;4.642510E-04
1.306087E+08;4.618773E-04
1.324514E+08;4.547221E-04
1.343200E+08;4.475123E-04
1.362150E+08;4.402484E-04
1.381368E+08;4.329312E-04
1.400000E+08;4.258840E-04
1.400856E+08;4.254987E-04
1.420620E+08;4.166380E-04
1.440662E+08;4.077141E-04
1.460988E+08;3.987279E-04
1.481599E+08;3.896803E-04
1.500000E+08;3.816590E-04
1.502502E+08;3.807088E-04
1.523700E+08;3.726891E-04
1.545196E+08;3.646115E-04
1.566996E+08;3.564767E-04
1.589104E+08;3.482855E-04
1.600000E+08;3.442700E-04
1.611523E+08;3.404893E-04
1.634259E+08;3.330665E-04
1.657315E+08;3.255883E-04
1.680697E+08;3.180553E-04
1.704409E+08;3.104683E-04
1.728455E+08;3.028279E-04
1.752840E+08;2.951349E-04
1.777570E+08;2.873902E-04
1.800000E+08;2.804150E-04
1.802648E+08;2.796721E-04
1.828080E+08;2.725629E-04
1.853871E+08;2.654014E-04
1.880026E+08;2.581883E-04
1.906550E+08;2.509243E-04
1.933448E+08;2.436101E-04
1.960725E+08;2.362464E-04
1.988387E+08;2.288341E-04
2.000000E+08;2.257390E-04
