Incident energy [eV];Computed function [b]
1.196579E+05;1.166780E-14
1.196931E+05;1.168870E-14
1.197283E+05;1.170960E-14
1.197986E+05;1.175130E-14
1.198690E+05;1.179310E-14
1.199393E+05;1.183480E-14
1.200097E+05;1.187660E-14
1.200801E+05;1.191840E-14
1.201505E+05;1.196020E-14
1.202208E+05;1.200190E-14
1.202912E+05;1.204370E-14
1.203615E+05;1.208540E-14
1.204319E+05;1.212720E-14
1.205022E+05;1.216890E-14
1.205726E+05;1.221070E-14
1.206429E+05;1.225240E-14
1.207836E+05;1.233590E-14
1.209243E+05;1.241940E-14
1.210650E+05;1.250300E-14
1.212214E+05;1.259580E-14
1.213778E+05;1.268860E-14
1.215342E+05;1.278140E-14
1.216905E+05;1.287420E-14
1.218000E+05;1.293920E-14
1.219094E+05;1.300410E-14
1.219642E+05;1.303670E-14
1.220189E+05;1.306910E-14
1.220736E+05;1.310160E-14
1.221283E+05;1.313410E-14
1.221772E+05;1.316310E-14
1.222261E+05;1.319210E-14
1.222750E+05;1.322110E-14
1.223238E+05;1.325010E-14
1.223483E+05;1.326460E-14
1.223727E+05;1.327910E-14
1.223971E+05;1.329360E-14
1.224215E+05;1.330810E-14
1.224460E+05;1.332260E-14
1.224704E+05;1.333710E-14
1.224948E+05;1.335160E-14
1.225192E+05;1.336610E-14
1.225378E+05;1.337710E-14
1.225564E+05;1.338820E-14
1.225750E+05;1.339920E-14
1.225935E+05;1.341020E-14
1.226121E+05;1.342120E-14
1.226214E+05;1.342670E-14
1.226306E+05;1.343220E-14
1.226399E+05;1.343770E-14
1.226492E+05;1.344320E-14
1.226585E+05;1.344880E-14
1.226677E+05;1.345420E-14
1.226775E+05;1.346000E-14
1.226873E+05;1.346590E-14
1.226971E+05;1.347170E-14
1.227068E+05;1.347740E-14
1.227117E+05;1.348030E-14
1.227166E+05;1.348320E-14
1.227215E+05;1.348620E-14
1.227263E+05;1.348900E-14
1.227312E+05;1.349190E-14
1.227361E+05;1.349480E-14
1.227410E+05;1.349770E-14
1.227458E+05;1.350060E-14
1.227512E+05;1.350380E-14
1.227566E+05;1.350700E-14
1.227593E+05;1.350860E-14
1.227620E+05;1.351020E-14
1.227647E+05;1.351180E-14
1.227673E+05;1.351330E-14
1.227700E+05;1.351490E-14
1.227727E+05;1.351650E-14
1.227754E+05;1.351810E-14
1.227781E+05;1.351970E-14
1.227808E+05;1.352130E-14
1.227835E+05;1.352300E-14
1.227862E+05;1.352460E-14
1.227888E+05;1.352610E-14
1.227915E+05;1.352770E-14
1.227942E+05;1.352930E-14
1.227969E+05;1.353090E-14
1.227996E+05;1.353250E-14
1.228023E+05;1.353410E-14
1.228050E+05;1.353570E-14
1.228103E+05;1.353890E-14
1.228153E+05;1.354180E-14
1.228202E+05;1.354470E-14
1.228227E+05;1.354620E-14
1.228251E+05;1.354760E-14
1.228276E+05;1.354910E-14
1.228300E+05;1.355060E-14
1.228326E+05;1.355210E-14
1.228352E+05;1.355360E-14
1.228378E+05;1.355520E-14
1.228403E+05;1.355670E-14
1.228454E+05;1.355970E-14
1.228505E+05;1.356270E-14
1.228534E+05;1.356440E-14
1.228563E+05;1.356620E-14
1.228592E+05;1.356790E-14
1.228620E+05;1.356950E-14
1.228649E+05;1.357130E-14
1.228678E+05;1.357300E-14
1.228707E+05;1.357470E-14
1.228735E+05;1.357640E-14
1.228758E+05;1.357770E-14
1.228781E+05;1.357910E-14
1.228804E+05;1.358050E-14
1.228826E+05;1.358180E-14
1.228849E+05;1.358310E-14
1.228871E+05;1.358440E-14
1.228894E+05;1.358580E-14
1.228916E+05;1.358710E-14
1.228962E+05;1.358980E-14
1.229007E+05;1.359250E-14
1.229052E+05;1.359520E-14
1.229097E+05;1.359790E-14
1.229143E+05;1.360060E-14
1.229188E+05;1.360330E-14
1.229233E+05;1.360590E-14
1.229278E+05;1.360860E-14
1.229324E+05;1.361130E-14
1.229369E+05;1.361400E-14
1.229414E+05;1.361670E-14
1.229459E+05;1.361930E-14
1.229550E+05;1.362470E-14
1.229640E+05;1.363010E-14
1.229730E+05;1.363540E-14
1.229820E+05;1.364080E-14
1.229907E+05;1.364590E-14
1.229993E+05;1.365100E-14
1.230079E+05;1.365610E-14
1.230165E+05;1.366120E-14
1.230252E+05;1.366640E-14
1.230338E+05;1.367150E-14
1.230510E+05;1.368170E-14
1.230683E+05;1.369200E-14
1.230855E+05;1.370220E-14
1.231028E+05;1.371250E-14
1.231200E+05;1.372270E-14
1.231389E+05;1.373390E-14
1.231578E+05;1.374510E-14
1.231767E+05;1.375630E-14
1.231956E+05;1.376760E-14
1.232145E+05;1.377880E-14
1.232334E+05;1.379000E-14
1.232712E+05;1.381240E-14
1.233090E+05;1.383490E-14
1.233468E+05;1.385730E-14
1.233846E+05;1.387970E-14
1.234223E+05;1.390210E-14
1.234782E+05;1.393530E-14
1.235341E+05;1.396850E-14
1.235900E+05;1.400160E-14
1.236458E+05;1.403480E-14
1.237017E+05;1.406790E-14
1.237575E+05;1.410110E-14
1.238692E+05;1.416740E-14
1.239809E+05;1.423370E-14
1.240926E+05;1.430000E-14
1.242043E+05;1.436630E-14
1.243160E+05;1.443260E-14
1.245262E+05;1.455730E-14
1.247103E+05;1.466660E-14
1.248023E+05;1.472120E-14
1.248943E+05;1.477580E-14
1.249863E+05;1.483040E-14
1.250783E+05;1.488500E-14
1.251703E+05;1.493960E-14
1.252623E+05;1.499420E-14
1.253215E+05;1.502940E-14
1.253806E+05;1.506440E-14
1.254398E+05;1.509960E-14
1.254989E+05;1.513470E-14
1.255581E+05;1.516980E-14
1.256172E+05;1.520490E-14
1.256468E+05;1.522240E-14
1.256764E+05;1.524000E-14
1.257060E+05;1.525760E-14
1.257355E+05;1.527510E-14
1.257651E+05;1.529270E-14
1.257947E+05;1.531020E-14
1.258243E+05;1.532780E-14
1.258538E+05;1.534530E-14
1.258834E+05;1.536290E-14
1.258982E+05;1.537170E-14
1.259130E+05;1.538040E-14
1.259278E+05;1.538920E-14
1.259426E+05;1.539800E-14
1.259574E+05;1.540680E-14
1.259721E+05;1.541550E-14
1.259877E+05;1.542480E-14
1.260033E+05;1.543400E-14
1.260189E+05;1.544330E-14
1.260345E+05;1.545260E-14
1.260423E+05;1.545720E-14
1.260501E+05;1.546180E-14
1.260579E+05;1.546640E-14
1.260657E+05;1.547110E-14
1.260735E+05;1.547570E-14
1.260813E+05;1.548030E-14
1.260891E+05;1.548500E-14
1.260969E+05;1.548960E-14
1.261052E+05;1.549450E-14
1.261134E+05;1.549940E-14
1.261216E+05;1.550420E-14
1.261298E+05;1.550910E-14
1.261339E+05;1.551160E-14
1.261380E+05;1.551400E-14
1.261421E+05;1.551640E-14
1.261462E+05;1.551890E-14
1.261503E+05;1.552130E-14
1.261544E+05;1.552370E-14
1.261585E+05;1.552620E-14
1.261626E+05;1.552860E-14
1.261672E+05;1.553130E-14
1.261717E+05;1.553400E-14
1.261762E+05;1.553670E-14
1.261807E+05;1.553930E-14
1.261852E+05;1.554200E-14
1.261897E+05;1.554470E-14
1.261942E+05;1.554730E-14
1.261987E+05;1.555000E-14
1.262027E+05;1.555240E-14
1.262066E+05;1.555470E-14
1.262144E+05;1.555930E-14
1.262183E+05;1.556160E-14
1.262222E+05;1.556400E-14
1.262261E+05;1.556630E-14
1.262300E+05;1.556860E-14
1.262343E+05;1.557110E-14
1.262385E+05;1.557360E-14
1.262428E+05;1.557620E-14
1.262470E+05;1.557870E-14
1.262555E+05;1.558370E-14
1.262598E+05;1.558630E-14
1.262640E+05;1.558880E-14
1.262687E+05;1.559160E-14
1.262734E+05;1.559440E-14
1.262758E+05;1.559580E-14
1.262781E+05;1.559710E-14
1.262827E+05;1.559990E-14
1.262874E+05;1.560270E-14
1.262920E+05;1.560540E-14
1.262967E+05;1.560820E-14
1.263013E+05;1.561090E-14
1.263056E+05;1.561350E-14
1.263099E+05;1.561600E-14
1.263142E+05;1.561860E-14
1.263185E+05;1.562110E-14
1.263228E+05;1.562370E-14
1.263271E+05;1.562620E-14
1.263314E+05;1.562880E-14
1.263356E+05;1.563130E-14
1.263442E+05;1.563640E-14
1.263527E+05;1.564140E-14
1.263613E+05;1.564650E-14
1.263698E+05;1.565160E-14
1.263780E+05;1.565640E-14
1.263862E+05;1.566130E-14
1.263944E+05;1.566620E-14
1.264025E+05;1.567100E-14
1.264107E+05;1.567580E-14
1.264188E+05;1.568070E-14
1.264270E+05;1.568550E-14
1.264351E+05;1.569030E-14
1.264515E+05;1.570010E-14
1.264678E+05;1.570970E-14
1.264841E+05;1.571940E-14
