Energy [MeV];Cross-Section [barns]
25.3527;0.0254881
25.7104;0.0250056
26;0.024615
26.3668;0.0237251
26.7388;0.0228226
27;0.0221889
27.3809;0.0217499
27.7672;0.0213046
28;0.0210363
28.395;0.0207532
28.7956;0.0204662
29;0.0203197
29.4091;0.0198726
29.824;0.0194192
30;0.0192269
30.4232;0.0189416
30.8525;0.0186523
31.2877;0.0183589
31.7292;0.0180614
32;0.0178788
32.4515;0.0173815
32.9093;0.0168772
33.3736;0.0163658
33.8444;0.0158472
34;0.0156758
34.4797;0.0152409
34.9661;0.0147998
35.4594;0.0143525
35.9597;0.0138988
36;0.0138623
36.5079;0.0134894
37.023;0.0131113
37.5453;0.0127278
38;0.012394
38.5361;0.0120655
39.0798;0.0117324
39.6311;0.0113946
40;0.0111686
40.5643;0.0108328
41.1366;0.0104923
41.717;0.010147
42;0.00997859
42.5925;0.00968002
43.1934;0.00937723
43.8028;0.00907017
44;0.00897082
44.6208;0.0086494
45.2503;0.00832345
45.8887;0.0079929
46;0.00793526
46.649;0.00769138
47.3071;0.00744405
47.9745;0.00719324
48;0.00718367
48.6772;0.0069115
49.3639;0.00663548
50;0.00637984
50.7054;0.00615578
51.4208;0.00592856
52;0.00574458
52.7336;0.0055308
53.4776;0.00531401
54;0.00516178
54.7618;0.00500213
55.5344;0.00484023
56;0.00474267
56.7901;0.0045589
57.5913;0.00437254
58;0.00427747
58.8183;0.00410414
59.6481;0.00392835
60;0.00385381
